Muni	How to behave to become a Sage 	Sutta Nipata 1:1–3, 1:5, 1:12, 2:6, 2:11, 2:13, 3:4–5, 3:9, 3:11, 4:6–7, 4:9–10, 4:14–16, 5:1–2, 5:7, 5:9	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	accurate and readable version rendering the verses in a style that is more uplifting	Meaning, root meaning of words same order of lines	free verse,  fewest distortions in meaning, poetic energy Thai	Poetic aesthetics  capture the subtlety of the Pali language	Impact on the mind and practical application 	 	 
Line	Sutta Name	Pali	Ven. Sujato 	Ven. Bodhi 	Ven. Ñanadipa 	Ven. Thanissaro	Laurence Mills 	Composition 	Snp vv	Notes
1	1.12  Muni Sage Inwardly Silent	santhavāto bhayaṃ jātaṃ niketā jāyate rajo aniketamasanthavaṃ etaṃ ve munidassanaṃ	Peril stems from intimacy, dust comes from a home. Freedom from home and intimacy: that is the sage’s vision.	From intimacy peril has arisen; from an abode there arises dust. Without an abode, without intimacy: this truly is the muni’s vision.	From socialising fear is born, from the house dust arises. Freedom from house and society that is the Muni’s vision	Danger is born from intimacy,1 a home gives birth to dust.2 Free from a home, free from intimacy: Such is the vision of the sage.	From familiarity fear is born, from household life arises dust; no household, no familiar life— such is the vision for the sage		207	See also: AN 3:123; Dhp 268–269; Iti 66–67; Sn 3:11
2	1.12  Muni Sage Inwardly Silent	yo jātamucchijja na ropayeyya jāyantamassa nānuppavecche tamāhu ekaṃ muninaṃ carantaṃ addakkhi so santipadaṃ mahesi	Having cut down what’s grown, they wouldn’t replant, nor would they nurture what’s growing. That’s who they call a sage wandering alone, the great hermit has seen the state of peace	One who, having cut off what has arisen, would not foster what is arising or nurture it — they call him a muni living alone: that great rishi saw the state of peace.	He who has uprooted the born and does not regrow and does not allow a [new] arising process, him they call the lone-faring Muni, for he, the true sage, has seen the way of peace.	Who, destroying what’s born, wouldn’t plant (again) or nourish what’s taking birth: They call him the wandering, solitary sage. He, the great seer has seen the state of peace.	Who, cutting down what has grown up, plants not again, supplies no means for growth, they call that Sage who fares alone; great-seeker-seen-the-place-of-peace		208	Thanissaro notes:  5 SnA: Dwellings (nivesanāni) = States of becoming and birth. This term can also be translated as “entrenchments.” See Sn 4:3, note 2. 6. SnA: He does not build = He performs none of the good or bad deeds that give rise to further states of becoming and birth. See Dhp 39, 267, and 412. 10. SnA: Straight as a shuttle = Having a mind unprejudiced by desire, aversion, delusion, or fear. See AN 4:19. 12. Intoxication: The three intoxications are intoxication with youth, with good health, and with life. See AN 3:39. 14. Flood: The flow of defilement: sensuality, becoming, views, and ignorance. See SN 45:171. 15. Such (tādiṁ): Unchanging; unaffected by anything, while at the same time undefined.
3	1.12  Muni Sage Inwardly Silent	saṅkhāya vatthūni pamāya bījaṃ sinehamassa nānuppavecche sa ve munī jātikhayantadassī takkaṃ pahāya na upeti saṅkhaṃ	Having assessed the fields and measured the seeds, they wouldn’t nurture them with moisture. Truly that sage sees the utter ending of rebirth; when logic’s left behind, judgments no longer apply.	Having comprehended the grounds, having crushed the seed, he would not nurture it with moisture. Truly, that muni, a seer of the final end of birth, having abandoned thought, cannot be designated.	Surveying the fields, crushing the seed, not allowing any moisture to it, he is the Muni who sees the utter destruction of birth.26 Giving up thinking he does not enter the surveyable.	Considering the ground, crushing the seed, he wouldn’t nourish the sap4 —truly a sage— seer of the ending of birth, abandoning conjecture, he cannot be classified.	Who has surveyed the grounds and lost the seeds, and supplied no means for further growth, is Sage seen to the end of birth and death, logic abandoned and beyond reckoning.		209	
4	1.12  Muni Sage Inwardly Silent	aññāya sabbāni nivesanāni anikāmayaṃ aññatarampi tesaṃ sa ve munī vītagedho agiddho nāyūhatī pāragato hi hoti	Understanding all the planes of rebirth, not wanting a single one of them, Truly that sage freed of greed need not strive, for they have reached the far shore.	Having known all residences, not desiring any one of them, he who is truly a muni, devoid of greed, greedless, does not endeavor, for he has gone beyond.	Having known all resorts, not wanting any of them, he is the Muni who is freed from greed and does not go along it. He does not struggle, he has gone across.	Knowing all dwellings,5 not longing for any one anywhere —truly a sage— with no coveting, without greed, he does not build,6 for he has gone    beyond.	Truly have been known all resting-places with no desires at all for any there— that sage indeed, free from crowing, greed, struggles not, gone to the further shore.		210	
5	1.12  Muni Sage Inwardly Silent	sabbābhibhuṃ sabbaviduṃ sumedhaṃ sabbesu dhammesu anūpalittaṃ sabbañjahaṃ taṇhakkhaye vimuttaṃ taṃ vāpi dhīrā muni vedayanti	The champion, all-knower, so very intelligent, unsullied in the midst of all things, has given up all, freed in the ending of craving: that’s who the wise know as a sage	One who has overcome all, all-knowing, very wise, untainted among all things, who has cast off all, liberated in the destruction of craving: he is one the wise know as a muni.	Overcoming all, knowing all, mature in wisdom, not getting stuck in anything, giving up all, freed in the destruction of craving— him too the wise make known as the Muni.	Conquering     all knowing     all, wise. With regard to     all things: unsmeared. Abandoning     all, in the ending of craving, released: The enlightened call him a sage.	Who is intelligent, knowing All, All overcome among all the dharmas, one who cannot be sullied, who All has abandoned, freed by craving’s end— that one do the wise proclaim as a sage		211	
6	1.12  Muni Sage Inwardly Silent	paññābalaṃ sīlavatūpapannaṃ samāhitaṃ jhānarataṃ satīmaṃ saṅgā pamuttaṃ akhilaṃ anāsavaṃ taṃ vāpi dhīrā muni vedayanti	Strong in wisdom, with precepts and observances intact, serene, loving absorption, mindful, released from chains, kind, undefiled: that’s who the wise know as a sage.	One with the power of wisdom, equipped with good behavior and observances, concentrated, delighting in jhāna, mindful, freed from ties, not barren, without influxes: he, too, is one the wise know as a muni.	Strong in wisdom, endowed with virtue and practice, composed, delighting in meditation, mindful, with barrenness gone, taintless— him too the wise make known as the Muni.	well-endowed in habit &practice, centered, delighting in jhāna, mindful, released from attachments, free from rigidity, free from effluent7: The enlightened call him a sage.	In wisdom strong, in virtuous conduct established, in concentration and enjoying jhāna, free from all ties, aridity and the inflows— that one do the wise proclaim as a sage		212	
7	1.12  Muni Sage Inwardly Silent	ekaṃ carantaṃ munimappamattaṃ nindāpasaṃsāsu avedhamānaṃ sīhaṃva saddesu asantasantaṃ vātaṃva jālamhi asajjamānaṃ padumaṃ va toyena alippamānaṃ netāramaññesamanaññaneyyaṃ taṃ vāpi dhīrā muni vedayanti	The diligent sage wandering alone, is unaffected by praise and blame— like a lion not startled by sounds, like wind not caught in a net, like water not sticking to a lotus. Leader of others, not by others led: that’s who the wise know as a sage.	Living alone, a muni, heedful, not swayed by blame and praise — like a lion not alarmed among sounds, like the wind not caught in a net, like a lotus not tainted by water, a leader of others, not by others led: he, too, is one the wise know as a muni.	Faring alone the Muni free of negligence, unshaken in blame and praise like the lion undisturbed by sounds, like the wind not caught in the net,  like the lotus untouched by water, the leader of others, not led by them— him too the wise make known as the Muni.	The solitary wandering sage, uncomplacent, unshaken by praise or blame— unstartled,     like a lion at sounds, uncaught,          like the wind in a net, unsmeared,     like a lotus in water,8 leader of others, by others unled: The enlightened call him a sage.	The vigilant sage who practises alone, who unshaken is by blame or praise, is as a lion that trembles not at sounds, or as wind within a net cannot be caught, or like a lotus flower by water not defiled, leading other people but not by others led— that one do the wise proclaim as a sage.		213	
8	1.12  Muni Sage Inwardly Silent	yo ogahaṇe thambhorivābhijāyati yasmiṃ pare vācāpariyantaṃ vadanti taṃ vītarāgaṃ susamāhitindriyaṃ taṃ vāpi dhīrā muni vedayanti	Steady as a post in a bathing-place when others speak endlessly against them, freed of greed, with senses stilled: that’s who the wise know as a sage.	One who remains steadfast like a pillar at a ford when others speak provocative words about some matter; who is devoid of lust, with well-concentrated faculties: he, too, is one the wise know as a muni.	He who remains like a post in the bathing place, regarding whom others come to the end of words,27 freed from lust, well composed in faculties— him too the wise make known as the Muni.	Who becomes like the pillar at a bathing ford,9 when others speak in extremes; he, without passion, his senses well-centered: The enlightened call him a sage.	Who though oppressed, is unmoving as a pile-post, when others about oneself use speech extreme; that one free from lust, sense-faculties restrained— that one do the wise proclaim as a sage.		214	
9	1.12  Muni Sage Inwardly Silent	yo ve ṭhitatto tasaraṃva ujju jigucchati kammehi pāpakehi vīmaṃsamāno visamaṃ samañca taṃ vāpi dhīrā muni vedayanti	Steadfast, straight as a shuttle, horrified by wicked deeds, discerning the just and the unjust: that’s who the wise know as a sage.	One who is inwardly firm, straight as a shuttle, disgusted with actions that are evil, who investigates the uneven and the even: he, too, is one the wise know as a muni.	He who, with a balanced mind and straight like a weaving shuttle, is disgusted with evil acts and investigates the even and the uneven— him too the wise make known as the Muni.	Truly poised, straight as a shuttle,10 he loathes evil actions. Pondering what is consonant &discordant11: The enlightened call him a sage. 	Who is straight-minded as shuttle straightly moves, and who conduct examines both the rough and the smooth, and so who turns away from evil karma-making— that one do the wise proclaim as a sage.		215	
10	1.12  Muni Sage Inwardly Silent	yo saññatatto na karoti pāpaṃ daharo majjhimo ca muni yatatto arosaneyyo na so roseti kañci taṃ vāpi dhīrā muni vedayanti	Restrained, they do no evil, young or middle-aged, the sage is self-controlled. Irreproachable, he does not insult anyone: that’s who the wise know as a sage.	One self-controlled does nothing evil; when young and middle-aged, the muni is restrained. Irreproachable, he does not scold anyone: he, too, is one the wise know as a muni.	He who well-restrained does no evil whether young or middle-aged, being a Muni, and neither gets provoked nor provokes anyone— him too the wise make known as the Muni.	Restrained in mind, he does no evil. Young &middle-aged, the sage self-controlled, never angered, he angers none: The enlightened call him a sage.	Who with a mind restrained, evil does not do, whether young, middle-aged or sage self-controlled, who cannot be provoked nor others does provoke— that one do the wise proclaim as a sage.		216	
11	1.12  Muni Sage Inwardly Silent	yadaggato majjhato sesato vā piṇḍaṃ labhetha paradattūpajīvī nālaṃ thutuṃ nopi nipaccavādī taṃ vāpi dhīrā muni vedayanti	When one who lives on charity receives alms, from the top, the middle, or the leftovers, they think it unworthy to praise or put down: that’s who the wise know as a sage.	Whether from the top, the middle, or the remainder, whatever food an alms-collector may receive, he does not think to praise it or disparage it: he, too, is one the wise know as a muni.	Depending as he is on others for food, whether he receives from the top, the middle, or the remainder, he is incapable of praising or criticizing it— him too the wise make known as the Muni.	From the best, the middling the leftovers he receives alms. Sustaining himself on what others give, neither flattering nor speaking disparagement: The enlightened call him a sage.	Who lives upon almsfood by others donated, receiving the first, the middle, or remainders at the end, who then sings not owned praises, or hurtfully speak— that one do the wise proclaim as a sage		217	
12	1.12  Muni Sage Inwardly Silent	muniṃ carantaṃ virataṃ methunasmā yo yobbane nopanibajjhate kvaci madappamādā virataṃ vippamuttaṃ taṃ vāpi dhīrā muni vedayanti	The sage lives refraining from sex, even when young is not tied down, refraining from indulgence and negligence, freed: that’s who the wise know as a sage.	The muni who lives abstinent from sexual union, who even in youth is not bound anywhere, abstinent from vanity and heedlessness, fully released: he, too, is one the wise know as a muni.	The Muni living aloof from sexuality, who even in his youth gets entangled nowhere, refraining from indulgence and negligence, well-freed him too the wise make known as the Muni.	The wandering sage abstaining from sex, in youth bound by no one, abstaining from intoxication12 complacency, totally apart: The enlightened call him a sage.	The sage not practising indulgence in sex, who even when youthful was not tied to anyone, not indulgence in madness of wanton ways but free— that one do the wise proclaim as a sage		218	
13	1.12  Muni Sage Inwardly Silent	aññāya lokaṃ paramatthadassiṃ oghaṃ samuddaṃ atitariya tādiṃ taṃ chinnaganthaṃ asitaṃ anāsavaṃ taṃ vāpi dhīrā muni vedayanti	Understanding the world, the seer of the ultimate goal, the poised one who has crossed the flood and the ocean, has cut the ties, unattached and undefiled: that’s who the wise know as a sage.	Having known the world, a seer of the supreme goal, an impartial one who has crossed the flood and ocean,  whose knots are cut, unattached, without influxes: he, too, is one the wise know as a muni.	Having known the world, seeing the highest purpose, having crossed the flood and the ocean, being Such-like, with knots cut, unattached and taintless— him too the wise make known as the Muni.	Knowing the world, seeing the highest goal, crossing the ocean,13 the flood,14 —Such15— his chains broken, unattached, without effluent: The enlightened call him a sage.	True Knower of the universe, Seer of highest truth, crossed the ocean’s flood, One Thus and unattached, One who’s knots are cut, with no inflows left— that one do the wise proclaim as a sage		219	
14	1.12  Muni Sage Inwardly Silent	asamā ubho dūravihāravuttino gihī dāraposī amamo ca subbato parapāṇarodhāya gihī asaññato niccaṃ munī rakkhati pāṇine yato	The two are not the same, far apart in lifestyle and conduct— the householder providing for a wife, and the selfless one true to their vows. The unrestrained householder kills other creatures, while the restrained sage always protects living creatures.	The two are dissimilar, their dwelling and conduct far apart: the layman supporting a wife and the ascetic owning nothing. The layman is unrestrained in harming other beings, while the muni, ever restrained, protects living beings.	Unequal are the two, remote in life and practice: the householder who feeds a family and the possessionless one of good  practice. The householder is unrestrained in killing living beings while the Muni always protects animals, being restrained.	These two are different, they dwell far apart: the householder supporting a wife and the unselfish one, of good practices. Slaying other beings, the householder is unrestrained. Constantly the sage protects other beings, is controlled.	The householder with wife, and the “not-mine-maker” of strict practices—their living-ways not the same: house-livers not restrained from taking others’ lives, but the sage always guards other beings’ lives		220	
15	1.12  Muni Sage Inwardly Silent	sikhī yathā nīlagīvo vihaṅgamo haṃsassa nopeti javaṃ kudācanaṃ evaṃ gihī nānukaroti bhikkhuno munino vivittassa vanamhi jhāyatoti	As the crested blue-necked peacock flying through the sky never approaches the speed of the swan, so the householder cannot compete with the mendicant, the sage meditating secluded in the woods	Just as the blue-necked peacock, flying in the sky, never approaches the speed of a goose, so the layman is no match for the bhikkhu, a muni meditating secluded in the woods.	Even as the blue-necked crested bird never reaches the speed of the wild-goose, so the house-holder cannot emulate the monk, the secluded Muni meditating in the forest.	Just as the crested, blue-necked peacock, when flying, never matches the wild goose in speed, even so the householder never keeps up with the monk— the sage secluded in the forest, doing jhāna.	In flight the crested peacock, turquoise-necked, never the swiftness of the swan attains, so a house-liver cannot match a bhikkhu, a sage meditating in the woods		221	
