Atthaka vagga 			Translators approach	Meaning, root meaning of words same order of lines	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	free verse,  fewest distortions in meaning, poetic energy Thai	accurate and readable version rendering the verses in a style that is more uplifting	Poetic aesthetics  capture the subtlety of the Pali language	Diferent approache occasionally more natural interpretations 	Impact on the mind		engaging in philosophical debates (4:3, 4:5, 4:8, 4:11–13), 	
Sutta 	Pali Name 	English Name	Pali	Ven. Ñanadipa 	Ven. Sujato 	Ven. Thanissaro	Ven. Bodhi 	Laurence Mills 	Chinese Bapat	Composition 	Vv #	Notes	Theme
1.1	KĀMA	Sensual Pleasures  Objects of desire	kāmaṁ kāmayamānassa / tassa ce taṁ samijjhati / addhā pītimano hoti /  laddhā macco yadicchati	If when a man is lusting for a sensual pleasure he succeeds in [getting] it, all joyful indeed he becomes having got what he wanted	If a mortal desires sensual pleasure and their desire succeeds, they definitely become elated, having got what they want.	If one, longing for sensual pleasure, achieves it, yes, he’s enraptured at heart. The mortal gets what he wants.	When a mortal desires sensual pleasure, if that succeeds for him, surely he is elated in mind, having gained what he desires.	If one with a desiring mind Succeeds in gaining sensual pleasure, A mortal such is pleased in mind With wishes all fulfilled	One’s brooding doth one increase, and his cravingsdoth he pursue, Having already obtained things, he further craves after them; Every day doth he increase [his longing] and ever doth he rejoice, When he has obtained the possession of _things [he wanted]		766	See also: MN 13–14; MN 22; MN 54; SN 1:20; SN 35:63; SN 35:115; SN 35:197; AN 6:63; Sn 2:8; Thag 5:1; Thag 7:1; Thag 10:5; Thig 5:4; Thig 13:5	Renunciation 
1.2	KĀMA	Sensual Pleasures  Objects of desire	tassa ce kāmayānassa / chandajātassa jantuno/ te kāmā parihāyanti / sallaviddhova ruppati	If while a person is lusting and full of desire those sensual pleasures fall away from him he gets afflicted as if pierced by a barb	But for that person in the throes of pleasure, aroused by desire, if those pleasures fade, it hurts like an arrow’s strike	But if for that person —longing, desiring— the pleasures diminish, he’s afflicted, as if shot with an arrow.	But when, full of sensual desire, a person is aroused by desire, if those sensual pleasures decline, he is afflicted as if pierced by a dart.	But if from this person passionate all of these pleasures disappear, then does this pleasure-addict feel, as though by arrows pierced.	The worldly desires who-so-ever covets, And sits tight over them——that stupid fool, In his very desires, he gets wrecked and ruined, As when, with a poisonous dart. his body gets pierced		767	Pali story agrees with that in Chinese in the story of the present. But Pali has no story of the past given	Renunciation 
1.3	KĀMA	Sensual Pleasures  Objects of desire	yo kāme parivajjeti / sappasseva padā siro somaṁ visattikaṁ loke /  sato samativattati	Whoever avoids sensual pleasures as if the head of a snake with his foot, the sticky nature of the world he mindfully passes over	One who, being mindful, avoids sensual pleasures like side-stepping a snake’s head, transcends attachment to the world	Whoever avoids sensual desires —as he would, with his foot, the head of a snake— goes beyond, mindful, this attachment in the world.	One who avoids sensual pleasures like a serpent’s head with the foot, being mindful, overcomes this attachment to the world.	The one who shuns these pleasures of sense, like treading not on a serpent’s head, such a one with mindfulness this tangled world transcends.	From desires he keeps himself far, As from treading upon a serpent’s head. The pleasure of the world he gets all over, And by practising concentration, a trance doth he attain		768		Renunciation 
1.4	KĀMA	Sensual Pleasures  Objects of desire	khettaṁ vatthuṁ hiraññaṁ vā / gavassaṁ dāsaporisaṁ thiyo bandhū puthu kāme / yo naro anugijjhati	Fields and land, or gold, cows and horses, slaves and servants, women and relations, various sensual pleasures, if for these a man has greed,	There are many objects of sensual desire: fields, lands, and gold; cattle and horses; slaves and servants; women and relatives. When a man lusts over these	A man who is greedy for fields, land, gold, cattle, horses, servants, employees, women, relatives, many sensual pleasures,	Fields, land, or bullion, cattle and horses, slaves and servants, women, relatives — when a person greedily longs for various sensual pleasures,	Obsessed with fields and property, with money, estates and those employed, with many pleasures, women and kin, such a person greedily—	In fields and grains and treasures precious, cows, horses, [Servants] that depend upon him, relations and pleasures, He gets engrossed—that stupid fool, Who thus inflicts injury upon his own self		769		Renunciation 
1.5	KĀMA	Sensual Pleasures  Objects of desire	abalā naṁ balīyanti / maddantenaṁ parissayā tato naṁ dukkhamanveti / nāvaṁ bhinnamivodakaṁ	they, though being powerless, overpower him. His surroundings crush him. Then misery enters into him like water into a broken boat.	the weak overpower him and adversities crush him. Suffering follows him like water in a leaky boat.	is overpowered with weakness and trampled by trouble, for pain invades him as water, a cracked boat.	even the weak overpower him; obstacles crush him. Then suffering enters him as water does a broken boat.	Do weaknesses bring down indeed, by dangers is that person crushed, and then by dukkhas stuck against— as water into broken boat.	Though powerless, him [surely] do overpower These enemies, that score victory over him. To darkness is he consigned and suiferings doth he experience, Like a boat, that is wrecked in the midst of the sea		770		Renunciation 
1.6	KĀMA	Sensual Pleasures  Objects of desire	tasmā jantu sadā sato / kāmāni parivajjaye te pahāya tare oghaṁ / nāvaṁ sitvāva pāragūti	Therefore a person always mindful should avoid sensual pleasures. Having abandoned them he would cross the flood like one who has gone to the far shore after bailing out the boat	That’s why a person, ever mindful, should avoid sensual pleasures. Give them up and cross the flood, as a bailed-out boat reaches the far shore	So one, always mindful, should avoid sensual desires. Letting them go, he’dcross over the flood like one who, having bailed out the boat, has reached the far shore.	Therefore, ever mindful, a person should avoid sensual pleasures. Having abandoned them, one can cross the flood, as by bailing out the boat one can reach the far shore.	So let a mindful one avoid at every turn these sense-desires, with them abandoned, cross the flood, as boat is baled for the Further Shore.	Therefore, one’s mind must one restrain," And from desires and violations keep aloof; - With exertions, he must seek the yonder shore And row the boat on to that which is safe		771		Renunciation 
2.1	GUHAṬṬHAKA	Cave octet	satto guhāyaṁ bahunābhichanno tiṭṭhaṁ naro mohanasmiṁ pagāḷho dūre vivekā hi tathāvidho so kāmā hi loke na hi suppahāyā	Imprisoned in a cave, covered over by much, the man stands who is immersed in delusion. Such a one is far indeed from seclusion for sensual pleasures in the world are not easy to abandon.	Trapped in a cave, thickly overspread, sunk in delusion they stay. A person like this is far from seclusion, for sensual pleasures in the world are not easy to give up.	Staying attached to the cave, covered heavily over, a person sunk in confusion is far from seclusion— for sensual pleasures sensual desires in the world are not lightly let go.	Stuck in the cave, densely covered over, dwelling immersed in bewilderment,  a person such as this is far from seclusion, for in the world sensual pleasures are not easily abandoned.	The person who’s to their body-cave Clouded by many moods, and in delusion sunk, Hard it is for that one, far from detachment, To abandon sensual pleasures in the world.	To his house being bound, many things he craves‘ for, In delusion is he merged, and in wrong course stands firm. By delusion overcome, from the right path‘ he strays; Thoughts of craving are hard to be tenderly treated		772	See also: SN 35:189; Thag 16:4; Sn 4:15	Renunciation 
2.2	GUHAṬṬHAKA	Cave octet	icchānidānā bhavasātabaddhā te duppamuñcā na hi aññamokkhā pacchā pure vāpi apekkhamānā ime va kāme purime va jappaṁ	Tied down to want, bound to the pleasure of existing, they are hard to free, not freeable by others. Now looking behind, now looking ahead, they hanker now after these, now after the former pleasures.	The chains of desire, the bonds of life’s pleasures are hard to escape, for one cannot free another. Looking to the past or the future, they pray for these pleasures or former ones.	Those chained by desire, bound by becoming’s allure, aren’t easily released for there’s no liberation by others. Intent, in front or behind, on hunger for sensual pleasures here or before	Based upon desire, bound to enjoyment of existence, they let go with difficulty, for there is no release through others. Concerned, too, with the future or the past, they hanker for these sensual pleasures or earlier ones.	Bound the worldly pleasures of the past, And hard to liberate are they in future time, From others they’re not free, not liberated— They’re attached to past and the future too.	To this life and birth attached, doth he sit, And those that are firmly bound to worldly things, he hardly can release ;' Things of the past or future, he never doth glance, ' But to the present is kindly disposed as sure as [ever-] before.		773	Similar occasion and the place of incident the same (country of Kauéambi) but the details of the story difier	Renunciation 
2.3	GUHAṬṬHAKA	Cave octet	kāmesu giddhā pasutā pamūḷhā avadāniyā te visame niviṭṭhā dukkhūpanītā paridevayanti kiṁsū bhavissāma ito cutāse	Greedy, engrossed, infatuated with pleasures they are incorrigible,1  entered upon an uneven path. Brought into misery they lament:  “What shall we become when we fall away from this.”	Greedy, fixated, infatuated by sensual pleasures, they are incorrigible, habitually immoral. When led to suffering they lament, “What will become of us when we pass away from here?	greedy for sensual pleasures, busy, deluded, ungenerous, entrenched in the discordant way,4 they—impelled into pain—lament: “What will we be when we pass on from here?	Those greedy for sensual pleasures, intent on them, are confused, stingy, settled in the unrighteous. When they come upon suffering they lament: “What will we be after we pass away here?”	Those who are niggardly, who hank after pleasures, infatuated they are, all their things—losses all! But subjected to pain they lament their losses— For how can all this be taken away, they wail?	Excessively greedy, as by delusion is he blinded; e Not knowing that wrong things are accumulating p to his credit; Though suffering, with this longing doth he sit- “From here, what [place] shall I go to‘ 1 ?”		774		Renunciation 
